system,segment,n_questions,recall@5,precision@5,ndcg@5,mrr
baseline,overall,12,0.5,0.1,0.4692,0.4583
baseline,text_answerable,6,1.0,0.2,0.9385,0.9167
baseline,visual_requiring,6,0.0,0.0,0.0,0.0
enhanced,overall,12,1.0,0.2,0.7738,0.6944
enhanced,text_answerable,6,1.0,0.2,0.9167,0.8889
enhanced,visual_requiring,6,1.0,0.2,0.6309,0.5
bm25_floor,overall,12,0.5,0.1,0.5,0.5
bm25_floor,text_answerable,6,1.0,0.2,1.0,1.0
bm25_floor,visual_requiring,6,0.0,0.0,0.0,0.0
random_floor,overall,12,0.0833,0.0167,0.0417,0.0278
random_floor,text_answerable,6,0.1667,0.0333,0.0833,0.0556
random_floor,visual_requiring,6,0.0,0.0,0.0,0.0
